r,X_r,Conn_r,euler_rips_r
24.02,748.6904761904761,2,89973
24.03,753.8095238095239,2,90605
24.05,754.047619047619,2,90634
24.06,758.468253968254,2,91180
24.13,759.7936507936508,2,91342
24.14,760.1428571428571,2,91385
24.16,760.6349206349206,2,91446
24.17,761.1984126984127,2,91515
24.19,762.031746031746,2,91618
24.2,762.7857142857143,2,91710
24.21,765.1269841269841,2,91998
24.24,766.5555555555555,2,92175
24.26,767.9126984126984,2,92342
24.28,768.2142857142857,2,92379
24.34,768.468253968254,2,92409
24.39,770.1269841269841,1,92613
24.4,771.7301587301587,1,92810
24.42,773.3333333333334,1,93007
24.43,774.6587301587301,1,93170
24.44,777.5079365079365,1,93522
24.46,780.7936507936508,1,93927
24.52,781.7222222222222,1,94041
24.53,782.5079365079365,1,94138
24.6,785.1269841269841,1,94462
24.63,793.1587301587301,1,95450
24.67,793.3174603174604,1,95469
24.7,794.7777777777778,1,95649
24.71,795.8809523809524,1,95785
24.74,796.031746031746,1,95803
24.75,806.4920634920635,1,97094
24.76,806.6904761904761,1,97118
24.79,808.8015873015873,1,97379
24.83,809.5873015873016,1,97476
24.84,811.1190476190476,1,97665
24.87,812.4285714285714,1,97827
24.89,813.3253968253969,1,97938
24.91,813.5793650793651,1,97969
24.97,818.2142857142857,1,98542
24.99,819.4444444444445,1,98694
25.0,839.1349206349206,1,101122
25.01,841.1269841269841,1,101368
25.02,841.968253968254,1,101472
25.05,842.5952380952381,1,101549
25.08,843.2460317460317,1,101629
25.11,844.2222222222222,1,101749
25.13,850.6428571428571,1,102538
25.15,851.6031746031746,1,102657
25.17,853.2380952380952,1,102859
25.18,854.563492063492,1,103022
25.23,854.9761904761905,1,103073
25.24,857.7301587301587,1,103413
25.27,858.1031746031746,1,103459
25.31,858.3571428571429,1,103490
25.32,858.8015873015873,1,103545
25.35,859.2619047619048,1,103602
25.39,860.2063492063492,1,103719
25.41,861.5952380952381,1,103890
25.46,861.9285714285714,1,103931
25.47,862.9444444444445,1,104057
25.5,873.5555555555555,1,105366
25.54,874.984126984127,1,105543
25.55,875.2380952380952,1,105574
25.56,875.6349206349206,1,105623
25.58,875.7301587301587,1,105634
25.6,876.1587301587301,1,105687
25.62,878.452380952381,1,105971
25.63,878.8174603174604,1,106016
25.64,879.6904761904761,1,106124
25.66,881.4444444444445,1,106340
25.71,882.436507936508,1,106463
25.74,894.5952380952381,1,107963
25.82,894.7619047619048,1,107983
25.84,895.9206349206349,1,108126
25.9,896.2777777777778,1,108170
25.93,897.8174603174604,1,108360
25.95,898.8650793650794,1,108489
25.99,899.952380952381,1,108623
26.0,901.7063492063492,1,108840
26.02,902.5793650793651,1,108948
26.05,903.0555555555555,1,109007
26.11,910.7539682539683,1,109954
26.12,912.9761904761905,1,110230
26.17,916.7936507936508,1,110703
26.18,917.9761904761905,1,110849
26.21,919.1746031746031,1,110997
26.22,921.2142857142857,1,111249
26.24,925.063492063492,1,111725
26.25,926.9761904761905,1,111962
26.31,927.6666666666666,1,112047
26.32,928.6428571428571,1,112168
26.39,930.8650793650794,1,112442
26.41,934.0952380952381,1,112842
26.47,934.5,1,112892
26.5,935.1746031746031,1,112975
26.51,936.1269841269841,1,113093
26.52,937.0,1,113201
26.54,937.3650793650794,1,113246
26.55,938.1666666666666,1,113345
26.58,950.6984126984127,1,114892
26.59,951.1746031746031,1,114951
26.62,954.9920634920635,1,115423
26.69,956.5952380952381,1,115621
26.71,957.7539682539683,1,115764
26.73,958.1984126984127,1,115819
26.74,958.8253968253969,1,115896
26.75,959.7539682539683,1,116010
26.77,960.6904761904761,1,116126
26.81,967.1349206349206,1,116925
26.84,967.436507936508,1,116962
26.86,968.3412698412699,1,117074
26.88,969.4444444444445,1,117210
26.91,971.3253968253969,1,117443
26.93,981.0396825396825,1,118643
26.96,981.5714285714286,1,118709
27.02,982.031746031746,1,118766
